name,teamSize,budget,workload,importance,completionTime
Strategic Alliance Book,14,742000,manageable,1,60
Budget Video Script,17,72000,heavy,5,45
Budget blog,21,889000,light,6,80
Email Correspondence to schedule Connie Videos,21,488000,heavy,1,70
Council Budget Schedule News Release,23,653000,manageable,6,10
"Discount tickets to Monster Jam Triple Threat Series, Jan. 10-12",16,760000,heavy,3,15
AAF video,15,706000,light,2,5
Too Soon To Forget event,19,431000,light,9,45
Too Soon to Forget news release,8,313000,manageable,7,35
Nov. 5 General Election at a glance,9,410000,heavy,6,80
Retirement of Dennis Pelham,14,159000,manageable,10,5
Reduce flooding by keeping storm drains clear of leaves,18,201000,light,10,25
Update PCG study questions,22,963000,manageable,8,90
Veterans Survey,3,584000,manageable,2,20
Wheel Options,21,865000,manageable,2,60
November poster,4,463000,light,8,70
Wx Rack Card,18,976000,light,2,95
2-1-1 Poster,20,610000,light,8,40
Fantasy Lights Walk,5,370000,heavy,9,80
Human Trafficking Poster,6,343000,light,2,30
Photography/Advertising,2,766000,heavy,9,85
Jurisdiction of the Year awarded to Recording Unit,9,610000,manageable,2,65
Woof Woof Walk,8,222000,light,1,95
Adopt A Family,25,279000,heavy,3,40
EI&R Banquet ticket reminder,8,370000,heavy,1,70
"Q&A, Study update",22,91000,manageable,8,70
Making the link 2019,23,734000,manageable,4,25
Superior Court drug court 25th anniversary,9,301000,light,8,85
Colorful Cooking Made Easy - Our Family,21,372000,light,5,25
In Her Shoes simulation for DV Awaress month,17,31000,heavy,5,15
Countywide 2020 calendar order announcement,23,591000,heavy,8,35
Boost your spreadsheet skills with free Excel classes,15,640000,heavy,8,70
Great ShakeOut,14,665000,light,6,70
Purchasing forum to connect businesses with government contracting experts and opportunities set for Oct. 17,17,60000,heavy,4,40
Social Security 2020,4,703000,manageable,4,10
PIT Count Training Video,14,290000,light,9,5
Images of Aging movie,14,450000,light,3,95
Community Plan to End Homelessness,12,873000,light,9,90
ADRC edits,7,33000,light,3,5
Outdoor improvements coming to Sprinker Recreation Center,23,352000,heavy,7,85
Five Flights Up - Images of Aging,7,651000,heavy,1,65
ADRC E-News October 2019,4,282000,heavy,8,10
ECEAP boost,24,172000,heavy,6,70
Flu Clinic Flyer,18,957000,manageable,7,65
Christmas Donation Flyer,16,450000,manageable,3,10
Update Finance of Elections,22,632000,heavy,9,65
POA - Bookmark,21,444000,manageable,9,5
PowerPoint Template,2,772000,manageable,6,25
LTC Providers Meeting,14,562000,light,5,75
Recovery Month,4,226000,manageable,5,70
Call for awards,20,634000,light,8,50
2019 Employee Fall Newsletter,12,827000,manageable,1,90
Update Energy Funds on website,16,908000,manageable,10,80
Photography for AOL,7,704000,light,3,70
Additions to AOL webpage,21,685000,manageable,10,85
Public Meeting Announcement,19,574000,heavy,4,100
Create labor negotiations webpage,18,196000,light,8,45
Update Volunteer Recognition webpages,19,523000,light,8,85
"Learn about Pierce County’s Parks, Recreation and Open Space Plan",25,301000,manageable,9,15
Photo Banner,16,807000,manageable,2,80
Wx tablecloth and runners,8,263000,light,3,65
Updated Business Cardsa,14,946000,heavy,7,90
Turn Nov 5 General Election Pamphlets in Flip-books for Website,14,37000,heavy,2,20
Oct 14 Office Closure,4,174000,heavy,4,35
Nov 5 General Election at a Glance,17,933000,heavy,6,80
PEBB Information Session Banner,7,451000,manageable,8,60
PEBB Information Sessions Banner,21,708000,light,3,80
October Poster,22,498000,light,4,35
Wheel Options,23,611000,manageable,3,20
Energy Rack Card,19,840000,light,5,5
HS Study Webpages,9,379000,heavy,6,35
2019 Shakeout Flyer,20,547000,manageable,6,75
Lakebay intersection to be reconfigured in late September,21,689000,heavy,3,75
Decommissioned vehicles and heavy equipment to be auctioned,5,804000,heavy,6,40
Planning Commission’s vote on four community plans postponed until housing market study completed,16,180000,heavy,8,80
PCG Communication Strategy,20,696000,light,1,30
September Blog,18,71000,manageable,10,25
Flag lowering Sept. 14,14,332000,heavy,1,30
Election Booklet Ads,24,89000,heavy,2,25
EI&R basket contest,16,428000,light,7,95
EI&R Banquet RSVP,24,263000,heavy,9,35
Aging out Loud,2,823000,heavy,9,20
Fall Prevention Day,14,415000,light,8,20
Computer restart message,13,60000,light,4,60
CCB & 925 Building construction project,11,875000,manageable,2,80
2019 Alz Conference news release,15,686000,light,8,75
Shoulder work on section of Key Peninsula Highway started Sept. 9,23,947000,heavy,6,50
Flag lowering in honor of Patriot Day,9,863000,heavy,1,55
CARSTAR Hi-Tech Collision classic car & truck show,14,669000,manageable,9,90
Benefits Fairs & Flu shots,5,438000,manageable,8,70
Staff Picnic Menu,16,471000,heavy,2,40
General Election Insert Design Edits,17,561000,heavy,7,70
District Court closure for staff training,2,266000,manageable,1,10
Directional Signing for Tour,6,184000,light,7,5
AOL program,16,572000,heavy,8,95
Resident Survey graphic,11,841000,manageable,4,5
Recovery Month Poster,10,732000,light,8,70
Stop Human Trafficking,12,355000,manageable,3,85
Run SOS Election Ads on TV Tacoma/PCTV,12,339000,light,9,35
Voter Outreach Campaign #1 Planning,25,314000,light,5,100
Package Delivery Sign,4,679000,light,2,10
Re-brand Elections Address Labels,18,377000,heavy,6,5
Jurisdiction of the Year - Ceiling Banner,25,288000,manageable,1,5
Preparedness Continuum,10,977000,light,6,5
Discount tickets to Disney On Ice: Mickey's Search Party,20,89000,manageable,4,95
Maintenance work on Muck Creek bridge on 8th Avenue South south of Rice Kandle Road East starts Sept. 3,12,935000,light,5,90
Update Animal Control Door Hanger,10,760000,light,9,90
Superior Court Judge Susan K. Serko announces retirement,21,300000,heavy,10,100
Social Media Events,20,84000,heavy,5,50
Create Aesthetic and Design Guidelines Manual for Social Media,25,666000,manageable,9,65
Images of aging looks at love after losing a spouse,21,923000,light,7,30
Social Media Events,21,214000,manageable,7,50
Honoree poster,5,482000,heavy,6,10
EI&R event webpages,23,144000,heavy,6,60
RSVP for Employee Recognition Banquet set for Oct. 23,4,378000,heavy,5,80
"Fox Island Bridge to be reduced to one lane Aug. 27 and 28 for inspection, repairs",17,559000,heavy,7,25
Strategic Alliance survey email,10,18000,manageable,8,20
Redo Census Website,9,627000,light,10,30
LTC providers meeting,9,251000,light,2,60
Puyallup Fair Express,8,223000,manageable,10,85
Stormwater treatment pond to be constructed near 104th Street East and Woodland Avenue East intersection,11,824000,light,9,25
PCHS Branding,5,215000,manageable,4,25
2019 Alzheimer's Conference,6,168000,light,6,50
Oh My Gosh Now What news release,8,732000,light,10,50
Addressing Homelessness: 5 year plan,5,406000,manageable,2,45
New Changes to the Landlord Tenant Law workshop,18,554000,manageable,5,5
Legal Ethics workshop,6,886000,manageable,9,75
Printing Guidelines board,16,469000,light,8,15
Road project at 62nd Avenue Northwest and 144th Street Northwest intersection continues,15,555000,heavy,8,25
Power outage at Human Services Building,22,793000,light,2,20
Technology Security Awareness Training,24,274000,light,9,65
Retirement of Debbie Combs,18,983000,manageable,6,35
Arts Commission Social Post and Graphic,21,196000,heavy,9,85
Arts Commission Email Flyer,10,781000,light,3,95
Retirement of Clarence Johnson,3,500000,light,6,90
Labor Day weekend schedule for Pierce County Ferry,12,668000,light,5,95
New traffic signal coming to 38th Avenue East and 152nd Street East intersection,24,569000,heavy,7,75
August Blog,16,555000,heavy,3,45
Reformat/Design DEI PowerPoint,9,39000,heavy,10,40
Old Veterans Window Poster,14,727000,light,6,25
Mobile Food Fest,20,726000,light,4,85
Staff Appreciation Save the Date,9,609000,light,8,25
1406 formula graphic,14,858000,light,3,5
E-newlstter on Fair and Vision 2050,12,596000,light,5,40
Translation layout,16,347000,light,9,10
Anderson Island Ferry Emergency Response,14,437000,heavy,2,45
Special Districts Study Session,13,924000,manageable,4,20
Special three-day candidate filing period,16,405000,heavy,9,30
Kids Kraze event,10,556000,light,3,25
"Family Campout to take over Chambers Creek Regional Park, Aug. 16-17",3,35000,manageable,2,30
August poster,11,783000,heavy,4,25
Reminder about vacation carry forward,6,666000,light,10,30
Media Advisory: Auditor seeks to appoint committee members for voters’ pamphlet,20,229000,light,4,5
Pierce County Fair debuts horse mounting ramp at special dedication,15,463000,manageable,3,5
2019 Standing Ovation Awards nominees,7,519000,light,7,95
Flag lowering in honor of victims in Texas and Ohio,19,121000,light,1,20
Age of Adaline facebook event and promotion,19,561000,heavy,6,90
POA Social Graphic and Text for Libraries,10,668000,manageable,5,15
